team,conference,bpi,pva,conf_rank,w_l,raw,raw_rank,sos,sos_rank,var,var_rank
Detroit,Horizon,46,-1.3,8,13-19,47.1,223,48.9,158,18.3,185
VMI,Big South,45.8,-1.4,2,22-13,57.6,96,38.2,304,21.8,57
N Illinois,MAC,45.6,-1.4,8,15-17,47.7,215,47.8,173,18.6,172
Evansville,MVC,45.3,-1.5,8,14-19,43.6,257,51.8,132,20.9,81
Colgate,Patriot,45.3,-1.5,5,13-18,52.5,165,42.8,235,22.9,25
Winthrop,Big South,44.9,-1.6,3,20-13,55.6,120,39.4,284,20.2,108
Charl Southern,Big South,44.8,-1.7,4,13-18,55.5,121,39.3,285,21.2,72
Bowling Green,MAC,44.7,-1.7,9,12-20,44.1,247,50.5,148,17.8,211
UNC Asheville,Big South,44.7,-1.7,5,17-15,55,133,39.7,280,21.5,66
Charleston,CAA,44.6,-1.7,5,14-18,47.9,208,46.7,191,23.9,11
TCU,Big 12,44.6,-1.8,10,9-22,32.4,335,62.2,77,16.7,253
Bryant,NEC,44.4,-1.8,2,18-14,54,147,40.5,264,17.9,208
N. Colorado,Big Sky,44.4,-1.8,2,18-14,55.2,126,39.2,287,24.3,7
Bradley,MVC,44.1,-1.9,9,12-20,43.9,251,50.2,152,22,49
Montana,Big Sky,43.9,-2,3,17-13,54.9,134,39,290,19.4,135
Wagner,NEC,43.9,-2,3,19-12,56.5,110,37.4,317,20,114
TX-Arlington,Sun Belt,43.8,-2,5,15-17,47.3,221,46.4,193,15.3,293
Northeastern,CAA,43.7,-2.1,6,11-21,42.4,266,51.3,139,22,52
St Francis (NY),NEC,43.3,-2.2,4,18-14,54.2,145,39.1,288,20.8,83
Hampton,MEAC,43.1,-2.3,2,18-13,56.2,112,36.9,324,18.4,180
Miami (OH),MAC,43.1,-2.3,10,13-18,42.1,268,50.9,142,21.4,67
Gardner-Webb,Big South,42.9,-2.3,6,18-15,55,130,37.8,312,17.3,229
Air Force,MW,42.8,-2.4,10,12-18,41.1,274,51.7,133,21.2,70
Radford,Big South,42.5,-2.4,7,22-13,57.1,104,35.4,338,21.5,64
Dartmouth,Ivy,42.2,-2.5,6,12-16,48.6,200,43.7,224,24.1,9
AR-Little Rock,Sun Belt,42,-2.6,6,15-17,46.1,235,46,199,15.8,280
Texas A&M-CC,Southland,41.7,-2.7,5,18-16,53.8,151,37.9,310,21.2,73
SE Missouri St,OVC,41.6,-2.8,5,18-14,55.4,124,36.2,333,18.7,166
E Washington,Big Sky,41.5,-2.8,4,15-16,50.6,181,41,261,22.7,28
Marshall,C-USA,41.5,-2.8,9,11-22,45.8,237,45.6,203,18.6,171
Morgan State,MEAC,41.5,-2.8,3,15-16,49.6,187,41.9,246,20.1,112
Hartford,Am. East,41.3,-2.9,4,17-16,51.1,179,40.2,272,22,48
FIU,C-USA,41.2,-2.9,10,15-16,46.6,228,44.7,213,20.1,111
UL Monroe,Sun Belt,41.2,-2.9,7,10-17,40.7,278,50.4,149,22.6,32
Rider,MAAC,41.2,-2.9,6,14-17,44.1,249,47.1,182,22.4,37
