team,conference,bpi,pva,conf_rank,w_l,raw,raw_rank,sos,sos_rank,var,var_rank
McNeese State,Southland,28.3,-7.5,9,11-20,36.9,311,41.4,254,15.5,290
UT Pan American,WAC,28.2,-7.6,9,9-23,37.7,308,40.5,263,17.1,237
SE Louisiana,Southland,27.9,-7.7,10,12-18,43.4,260,34.5,342,14.7,298
Rice,C-USA,27.8,-7.7,15,7-23,33.1,330,44.8,211,13.7,315
E Illinois,OVC,27.8,-7.7,10,11-19,37.7,306,40.1,275,17.5,223
UTSA,C-USA,27.8,-7.7,16,8-22,33.9,324,43.9,219,18.6,170
Alabama A&M,SWAC,27.7,-7.8,5,14-16,46.2,231,31.5,349,16.3,265
Jacksonville St,OVC,27.6,-7.8,11,10-21,38.8,294,38.8,292,16.8,249
UC Davis,Big West,27.3,-7.9,9,9-22,33.7,327,43.6,227,18.5,177
Abilene Christian,Southland,27.3,-7.9,11,11-20,44.4,246,32.9,345,17.2,233
Navy,Patriot,27,-8.1,10,9-21,37.9,304,39.1,289,20,115
Campbell,Big South,27,-8.1,10,12-20,40.5,282,36.4,330,16.9,244
IUPUI,Summit,26.3,-8.3,8,6-26,31,340,45.4,207,19.9,119
Samford,Southern,26.3,-8.4,8,13-20,39.9,286,36.4,331,18.8,165
AR-Pine Bluff,SWAC,25.9,-8.5,6,13-18,38.7,295,37.2,321,14.5,302
Appalachian St,Southern,25.3,-8.8,9,9-21,39.4,289,35.9,334,15.8,282
St Francis (PA),NEC,25.2,-8.8,7,10-21,35.5,320,39.7,279,16.7,255
Alcorn State,SWAC,24.8,-9,7,12-19,42.3,267,32.5,346,16.2,270
PV A&M,SWAC,24.7,-9,8,11-23,38,301,36.6,329,16.2,268
New Hampshire,Am. East,24.6,-9.1,6,6-24,32.5,333,42.1,244,20.7,85
UMBC,Am. East,24.4,-9.2,7,9-21,36,316,38.4,300,17.1,235
LIU Brooklyn,NEC,24,-9.3,8,9-20,33.9,325,40.1,276,16.1,272
UT Martin,OVC,23.9,-9.4,12,8-23,36.7,314,37.2,319,14,308
Cent Conn St,NEC,23.8,-9.4,9,11-19,36.7,313,37.1,323,15.7,286
Cent Arkansas,Southland,23.6,-9.5,12,8-21,35.1,321,38.5,299,15.5,289
Furman,Southern,21.9,-10.3,10,9-21,35.6,319,36.3,332,17.2,231
Sacred Heart,NEC,21.7,-10.4,10,5-26,33.7,328,38,307,15.7,285
Howard,MEAC,21.1,-10.7,9,8-25,32.5,332,38.5,298,13.3,320
N Carolina A&T,MEAC,21.1,-10.7,10,9-23,33.9,326,37.1,322,14.2,306
Binghamton,Am. East,21,-10.8,8,7-23,29.6,343,41.3,256,15.3,292
Longwood,Big South,21,-10.8,11,8-24,32.2,337,38.7,295,16.5,259
The Citadel,Southern,20.8,-10.8,11,7-26,32.4,334,38.4,302,16.8,251
S Carolina St,MEAC,20.6,-10.9,11,9-21,32.1,338,38.5,297,16,277
Maine,Am. East,20.5,-11,9,6-23,28.4,346,42.1,243,13.9,310
Cornell,Ivy,20,-11.2,8,2-26,22.2,350,47.9,171,11.2,343
Houston Baptist,Southland,20,-11.2,13,6-25,29.9,341,40.1,273,13.1,323
Kennesaw St,A-Sun,19.3,-11.6,9,6-25,28.9,345,40.3,268,13,326
Stetson,A-Sun,19.1,-11.7,10,7-24,29,344,40,277,12.5,336
MD-E Shore,MEAC,18.9,-11.8,12,6-24,32.3,336,36.7,328,14.2,305
Lamar,Southland,18.1,-12.2,14,4-26,26.3,349,41.7,250,11.5,341
Miss Valley St,SWAC,18,-12.3,9,9-23,34,323,34,343,12.7,330
Bethune-Cookman,MEAC,17.4,-12.6,13,7-25,32.6,331,34.9,340,11.9,337
Presbyterian,Big South,16.3,-13.3,12,6-26,27.5,347,38.8,293,13,325
Southern Utah,Big Sky,13.4,-15.1,11,2-27,19.7,351,43.7,223,8.5,348
Grambling St,SWAC,13,-15.4,10,5-24,27.5,348,35.5,336,10.6,346
